0
"Exch,ExchType,ScripCode,Name,Expiry,ScripType,StrikeRate,FullName,TickSize,LotSize,QtyLimit,Multiplier,SymbolRoot,BOCOAllowed,ISIN,ScripData,Series
"
"N,C,10577,KRBL,,XX,0,KRBL LIMITED,0.05,1,317928,1,KRBL,Y,INE001B01026,KRBL_EQ,EQ
"
"N,C,5585,VIJAYA,,XX,0,VIJAYA DIAGNOSTIC CEN LTD,0.05,1,91847,1,VIJAYA,Y,INE043W01024,VIJAYA_EQ,EQ
"
"N,C,14858,GOLD1,,XX,0,KOTAK GOLD ETF,0.01,1,1522322,1,GOLD1,Y,INF174KA1HJ8,GOLD1_EQ,EQ
"
"N,C,5378,ASAHIINDIA,,XX,0,ASAHI INDIA GLASS LIMITED,0.05,1,130540,1,ASAHIINDIA,Y,INE439A01020,ASAHIINDIA_EQ,EQ
"
"N,C,6596,SONATSOFTW,,XX,0,SONATA SOFTWARE LTD,0.05,1,148065,1,SONATSOFTW,Y,INE269A01021,SONATSOFTW_EQ,EQ
"
"N,C,1576,GILLETTE,,XX,0,GILLETTE INDIA LTD,0.05,1,10200,1,GILLETTE,Y,INE322A01010,GILLETTE_EQ,EQ
"
"N,C,928,ELECTCAST,,XX,0,ELECTROSTEEL CASTINGS LTD,0.01,1,622512,1,ELECTCAST,N,INE086A01029,ELECTCAST_EQ,EQ
"
"N,C,2056,HOMEFIRST,,XX,0,HOME FIRST FIN CO IND LTD,0.05,1,96127,1,HOMEFIRST,Y,INE481N01025,HOMEFIRST_EQ,EQ
"
"N,C,9756,EMUDHRA,,XX,0,EMUDHRA LIMITED,0.05,1,107656,1,EMUDHRA,Y,INE01QM01018,EMUDHRA_EQ,EQ
"
"N,C,5373,DEVYANI,,XX,0,DEVYANI INTERNATIONAL LTD,0.01,1,588658,1,DEVYANI,Y,INE872J01023,DEVYANI_EQ,EQ
"
"N,C,20152,ASKAUTOLTD,,XX,0,ASK AUTOMOTIVE LIMITED,0.05,1,206606,1,ASKAUTOLTD,Y,INE491J01022,ASKAUTOLTD_EQ,EQ
"
"N,C,13491,JKLAKSHMI,,XX,0,JK LAKSHMI CEMENT LTD,0.05,1,115082,1,JKLAKSHMI,Y,INE786A01032,JKLAKSHMI_EQ,EQ
"
"N,C,1375,HCC,,XX,0,HINDUSTAN CONSTRUCTION CO,0.01,1,2246001,1,HCC,N,INE549A01026,HCC_EQ,EQ
"
"N,C,21001,PSB,,XX,0,PUNJAB & SIND BANK,0.01,1,1897781,1,PSB,Y,INE608A01012,PSB_EQ,EQ
"
"N,C,12026,RENUKA,,XX,0,SHREE RENUKA SUGARS LTD,0.01,1,2330697,1,RENUKA,Y,INE087H01022,RENUKA_EQ,EQ
"
"N,C,3327,SUDARSCHEM,,XX,0,SUDARSHAN CHEMICAL INDS L,0.05,1,88265,1,SUDARSCHEM,Y,INE659A01023,SUDARSCHEM_EQ,EQ
"
"N,C,1726,JBCHEPHARM,,XX,0,J B CHEMICALS AND PHARMA,0.05,1,54205,1,JBCHEPHARM,Y,INE572A01036,JBCHEPHARM_EQ,EQ
"
"N,C,1508,ASTERDM,,XX,0,ASTER DM HEALTHCARE LTD.,0.05,1,206299,1,ASTERDM,Y,INE914M01019,ASTERDM_EQ,EQ
"
"N,C,9111,ARVINDFASN,,XX,0,ARVIND FASHIONS LIMITED,0.05,1,191287,1,ARVINDFASN,Y,INE955V01021,ARVINDFASN_EQ,EQ
"
"N,C,23799,GODIGIT,,XX,0,GO DIGIT GENERAL INS LTD,0.05,1,302070,1,GODIGIT,Y,INE03JT01014,GODIGIT_EQ,EQ
"
"N,C,3761,RITES,,XX,0,RITES LIMITED,0.05,1,334501,1,RITES,Y,INE320J01015,RITES_EQ,EQ
"
"N,C,20413,IOLCP,,XX,0,IOL CHEM AND PHARMA LTD,0.05,1,239343,1,IOLCP,Y,INE485C01011,IOLCP_EQ,EQ
"
"N,C,14198,TIMKEN,,XX,0,TIMKEN INDIA LTD.,0.05,1,30840,1,TIMKEN,Y,INE325A01013,TIMKEN_EQ,EQ
"
"N,C,11840,NH,,XX,0,NARAYANA HRUDAYALAYA LTD.,0.05,1,77045,1,NH,Y,INE410P01011,NH_EQ,EQ
"
"N,C,15044,DELTACORP,,XX,0,DELTA CORP LIMITED,0.01,1,812953,1,DELTACORP,Y,INE124G01033,DELTACORP_EQ,EQ
"
"N,C,25844,HYUNDAI,,XX,0,HYUNDAI MOTOR INDIA LTD,0.05,1,55253,1,HYUNDAI,N,INE0V6F01027,HYUNDAI_EQ,EQ
"
"N,C,3857,VARROC,,XX,0,VARROC ENGINEERING LTD.,0.05,1,170510,1,VARROC,Y,INE665L01035,VARROC_EQ,EQ
"
"N,C,1494,RBA,,XX,0,RESTAURANT BRAND ASIA LTD,0.01,1,1220591,1,RBA,Y,INE07T201019,RBA_EQ,EQ
"
"N,C,24610,AVANTEL,,XX,0,AVANTEL LIMITED,0.01,1,611580,1,AVANTEL,Y,INE005B01027,AVANTEL_EQ,EQ
"
"N,C,17105,SUMICHEM,,XX,0,SUMITOMO CHEM INDIA LTD,0.05,1,188678,1,SUMICHEM,Y,INE258G01013,SUMICHEM_EQ,EQ
"
"N,C,17313,LLOYDSME,,XX,0,LLOYDS METALS N ENERGY L,0.05,1,90960,1,LLOYDSME,Y,INE281B01032,LLOYDSME_EQ,EQ
"
"N,C,1139,GICHSGFIN,,XX,0,GIC HOUSING FINANCE LTD,0.01,1,453641,1,GICHSGFIN,Y,INE289B01019,GICHSGFIN_EQ,EQ
"
"N,C,13816,LTFOODS,,XX,0,LT FOODS LIMITED,0.05,1,229535,1,LTFOODS,Y,INE818H01020,LTFOODS_EQ,EQ
"
"N,C,11411,RKFORGE,,XX,0,RAMKRISHNA FORGINGS LTD,0.05,1,102681,1,RKFORGE,Y,INE399G01023,RKFORGE_EQ,EQ
"
"N,C,2496,ORIENTPPR,,XX,0,ORIENT PAPER AND INDS LTD,0.01,1,2411916,1,ORIENTPPR,Y,INE592A01026,ORIENTPPR_EQ,EQ
"
"N,C,17333,MHRIL,,XX,0,MAHINDRA HOLIDAYS LTD,0.05,1,270444,1,MHRIL,Y,INE998I01010,MHRIL_EQ,EQ
"
